# filename; lat; lon; alt; yawl; pitch; roll; x; y; z
20200707_093429_905_0626.jpg; 81.660060; 4.652320; 98.539; 36.950; 5.587; -1.651; 4.680156; 81.665414; 98.539
20200707_093433_905_0627.jpg; 81.660193; 4.653049; 98.725; 37.797; 5.378; -0.184; 4.680930; 81.665556; 98.725
20200707_093437_905_0628.jpg; 81.660331; 4.653899; 98.634; 36.463; 4.733; -0.388; 4.681824; 81.665702; 98.634
20200707_093441_905_0629.jpg; 81.660493; 4.654819; 99.133; 36.788; 4.615; -1.614; 4.682790; 81.665873; 99.133
20200707_093445_905_0630.jpg; 81.660678; 4.655802; 98.387; 34.801; 5.620; -1.041; 4.683819; 81.666067; 98.387
20200707_093449_905_0631.jpg; 81.660875; 4.656755; 96.972; 35.514; 6.638; 1.001; 4.684816; 81.666272; 96.972
20200707_093453_905_0632.jpg; 81.661051; 4.657729; 95.426; 36.038; 6.695; 0.622; 4.685836; 81.666457; 95.426
20200707_093457_905_0633.jpg; 81.661206; 4.658662; 93.963; 36.082; 6.817; 0.384; 4.686814; 81.666621; 93.963
20200707_093501_907_0634.jpg; 81.661335; 4.659578; 92.651; 35.935; 6.970; -0.965; 4.687775; 81.666758; 92.651
20200707_093505_907_0635.jpg; 81.661444; 4.660440; 90.954; 34.764; 6.294; -1.457; 4.688682; 81.666875; 90.954
20200707_093509_905_0636.jpg; 81.661559; 4.661196; 88.785; 36.243; 5.099; 0.197; 4.689483; 81.666999; 88.785
20200707_093513_905_0637.jpg; 81.661682; 4.662007; 90.856; 34.736; 5.491; -1.575; 4.690339; 81.667130; 90.856
20200707_093517_907_0638.jpg; 81.661819; 4.662793; 92.831; 33.576; 5.523; 0.861; 4.691170; 81.667276; 92.831
20200707_093521_907_0639.jpg; 81.661955; 4.663723; 93.132; 34.472; 4.912; 0.704; 4.692146; 81.667421; 93.132
20200707_093525_905_0640.jpg; 81.662097; 4.664791; 93.546; 36.601; 5.180; 0.711; 4.693258; 81.667571; 93.546
20200707_093529_905_0641.jpg; 81.662265; 4.666001; 94.951; 36.546; -6.127; -8.922; 4.694513; 81.667748; 94.951
20200707_093533_907_0642.jpg; 81.662712; 4.666962; 85.754; 11.293; -3.605; -20.759; 4.695521; 81.668204; 85.754
20200707_093537_907_0643.jpg; 81.663476; 4.664842; 74.634; 338.723; -3.445; -30.972; 4.693448; 81.668976; 74.634
20200707_093541_905_0644.jpg; 81.664175; 4.657903; 63.839; 305.907; -3.469; -23.673; 4.686556; 81.669683; 63.839
20200707_093545_905_0645.jpg; 81.664516; 4.647709; 58.561; 287.364; -2.402; -18.006; 4.676408; 81.670034; 58.561
20200707_093549_907_0646.jpg; 81.664537; 4.635903; 51.331; 275.564; -1.731; -8.160; 4.664647; 81.670062; 51.331
20200707_093553_907_0647.jpg; 81.664389; 4.623387; 54.525; 272.746; 0.771; -5.137; 4.652175; 81.669923; 54.525
20200707_093557_907_0648.jpg; 81.664151; 4.610742; 63.329; 269.697; 1.382; -6.113; 4.639573; 81.669694; 63.329
20200707_093601_907_0649.jpg; 81.663814; 4.598102; 69.176; 266.200; 1.545; -5.891; 4.626978; 81.669366; 69.176
20200707_093605_907_0650.jpg; 81.663321; 4.585702; 73.948; 254.943; 7.972; -18.764; 4.614620; 81.668881; 73.948
20200707_093609_907_0651.jpg; 81.662473; 4.574874; 84.383; 239.618; 5.933; -8.497; 4.603834; 81.668041; 84.383
20200707_093613_907_0652.jpg; 81.661458; 4.565314; 89.263; 233.277; 6.009; -6.838; 4.594315; 81.667035; 89.263
20200707_093617_907_0653.jpg; 81.660345; 4.556924; 92.649; 219.816; 5.580; -14.676; 4.585966; 81.665931; 92.649
20200707_093621_907_0654.jpg; 81.659064; 4.550728; 92.367; 197.386; 4.751; -17.961; 4.579810; 81.664659; 92.367
20200707_093625_907_0655.jpg; 81.657670; 4.547623; 91.322; 173.677; 4.594; -16.079; 4.576745; 81.663273; 91.322
20200707_093629_907_0656.jpg; 81.656341; 4.547536; 95.359; 151.338; 4.203; -16.817; 4.576698; 81.661953; 95.359
20200707_093633_907_0657.jpg; 81.655187; 4.550011; 96.464; 131.540; 1.765; -11.117; 4.579213; 81.660807; 96.464
20200707_093637_907_0658.jpg; 81.654199; 4.554192; 94.178; 119.277; 0.853; -9.020; 4.583435; 81.659827; 94.178
20200707_093641_907_0659.jpg; 81.653384; 4.559595; 92.523; 109.017; 1.169; -7.236; 4.588881; 81.659021; 92.523
20200707_093645_907_0660.jpg; 81.652737; 4.565819; 91.309; 99.096; 2.184; -8.766; 4.595147; 81.658383; 91.309
20200707_093649_907_0661.jpg; 81.652308; 4.572530; 91.447; 86.655; 2.322; -11.949; 4.601901; 81.657962; 91.447
20200707_093653_907_0662.jpg; 81.652150; 4.579114; 89.939; 72.165; 6.012; -5.261; 4.608528; 81.657813; 89.939
20200707_093657_907_0663.jpg; 81.652152; 4.584960; 89.060; 65.693; 9.730; -0.862; 4.614420; 81.657824; 89.060
20200707_093701_910_0664.jpg; 81.652192; 4.589906; 94.023; 60.193; 7.667; -2.057; 4.619410; 81.657872; 94.023
20200707_093705_907_0665.jpg; 81.652270; 4.594026; 95.107; 61.400; 6.514; -3.145; 4.623575; 81.657959; 95.107
20200707_093709_907_0666.jpg; 81.652381; 4.597632; 94.223; 57.980; 5.396; -2.855; 4.627226; 81.658079; 94.223
